Feature,Importance
blueGoldDiff,0.13569228236418157
redGoldDiff,0.12275454204302765
blueExperienceDiff,0.1056909761266996
redExperienceDiff,0.08028092459190679
blueGoldPerMin,0.051375380042611954
redTotalGold,0.04468129568489117
redGoldPerMin,0.04353311344549479
blueTotalGold,0.043428322723715544
redTotalExperience,0.037203017820349245
blueTotalExperience,0.03266865453529506
blueAvgLevel,0.020833161612844816
blueTotalMinionsKilled,0.01870199567295241
redTotalMinionsKilled,0.01856417972339774
blueCSPerMin,0.017908684791091645
redCSPerMin,0.017891913596424548
blueTotalJungleMinionsKilled,0.0173778798744353
redTotalJungleMinionsKilled,0.01709570547644561
redAvgLevel,0.016407576561164802
blueWardsPlaced,0.016281083077003957
redWardsPlaced,0.014833046600717681
blueAssists,0.013282062025200055
redAssists,0.013230668027387798
blueDeaths,0.011051026016134979
redWardsDestroyed,0.010452781836175014
redKills,0.010108195122464478
redDeaths,0.010078602161877639
blueWardsDestroyed,0.00986747509595307
blueKills,0.009722495736822224
blueDragons,0.00870644497144605
redDragons,0.008022929472191105
redEliteMonsters,0.0070463930096453355
blueEliteMonsters,0.005624606718618953
blueFirstBlood,0.0024990267670630933
redFirstBlood,0.0022311274742913088
blueHeralds,0.0018987163228047447
redHeralds,0.0018195661321401318
blueTowersDestroyed,0.0006605909296680813
redTowersDestroyed,0.0004935558154641795
